clistingid,csku,cmemberemail,icomment,cvideourl,clabel,dcreatedate,cauditoruser,dauditordate,iauditorstatus
12342,H000-TEST,Jack_tomtop@gmail.com,5,www.youtube.com/embed/2LPjoATwgQA?feature=player_detailpage",video,2014-12-24/ 19:10,xin,2014-12-24,1
12342,H000-TEST,Jack_tomtop@gmail.com,5,www.youtube.com/embed/2LPjoATwgQA?feature=player_detailpage",video,2014-12-24/ 19:10,xin,2014-12-24,1
12344,H000-TEST,Jack_tomtop@gmail.com,4,www.youtube.com/embed/2LPjoATwgQA?feature=player_detailpage",video,2014-12-24/ 19:10,xin,2014-12-24,1
12347,H000-TEST,Quick_tool@gmail.com,3,www.youtube.com/embed/2LPjoATwgQA?feature=player_detailpage",video,2014-12-24/ 19:10,xin,2014-12-24,1
12347,H000-TEST,Jack_tomtop@gmail.com,2,www.youtube.com/embed/2LPjoATwgQA?feature=player_detailpage",video,2014-12-24/ 19:10,xin,2014-12-24,1
12342,H000-TEST,Quick_tool@gmail.com,6,www.youtube.com/embed/2LPjoATwgQA?feature=player_detailpage",video,2014-12-24/ 19:10,xin,2014-12-24,1
12342,H000-TEST,Roooose_tozxc@gmail.com,5,www.youtube.com/embed/2LPjoATwgQA?feature=player_detailpage",video,2014-12-24/ 19:10,xin,2014-12-24,1
12344,H000-TEST,Ctrol_toaa@gmail.com,3,www.youtube.com/embed/2LPjoATwgQA?feature=player_detailpage",video,2014-12-24/ 19:10,xin,2014-12-24,1
12342,H000-TEST,Ctrol_toaa@gmail.com,5,www.youtube.com/embed/2LPjoATwgQA?feature=player_detailpage",video,2014-12-24/ 19:10,xin,2014-12-24,1
12342,H000-TEST,Quick_tool@gmail.com,5,www.youtube.com/embed/2LPjoATwgQA?feature=player_detailpage",video,2014-12-24/ 19:10,xin,2014-12-24,1
12344,H000-TEST,Jack_tomtop@gmail.com,4,www.youtube.com/embed/2LPjoATwgQA?feature=player_detailpage",video,2014-12-24/ 19:10,xin,2014-12-24,1
12347,H000-TEST,Quick_tool@gmail.com,3,www.youtube.com/embed/2LPjoATwgQA?feature=player_detailpage",video,2014-12-24/ 19:10,xin,2014-12-24,1
12344,H000-TEST,Jack_tomtop@gmail.com,4,www.youtube.com/embed/2LPjoATwgQA?feature=player_detailpage",video,2014-12-24/ 19:10,xin,2014-12-24,1
12344,H000-TEST,Jack_tomtop@gmail.com,4,www.youtube.com/embed/2LPjoATwgQA?feature=player_detailpage",video,2014-12-24/ 19:10,xin,2014-12-24,1
12344,H000-TEST,Jack_tomtop@gmail.com,4,www.youtube.com/embed/2LPjoATwgQA?feature=player_detailpage",video,2014-12-24/ 19:10,xin,2014-12-24,1
12344,H000-TEST,Jack_tomtop@gmail.com,4,www.youtube.com/embed/2LPjoATwgQA?feature=player_detailpage",video,2014-12-24/ 19:10,xin,2014-12-24,1
12344,H000-TEST,Jack_tomtop@gmail.com,4,www.youtube.com/embed/2LPjoATwgQA?feature=player_detailpage",video,2014-12-24/ 19:10,xin,2014-12-24,1
12344,H000-TEST,Jack_tomtop@gmail.com,4,www.youtube.com/embed/2LPjoATwgQA?feature=player_detailpage",video,2014-12-24/ 19:10,xin,2014-12-24,1
12344,H000-TEST,Jack_tomtop@gmail.com,4,www.youtube.com/embed/2LPjoATwgQA?feature=player_detailpage",video,2014-12-24/ 19:10,xin,2014-12-24,1
12344,H000-TEST,Jack_tomtop@gmail.com,4,www.youtube.com/embed/2LPjoATwgQA?feature=player_detailpage",video,2014-12-24/ 19:10,xin,2014-12-24,1
