clistingid,csku,iwebsiteid,csourceurl,cemail,flowerprice,cinquiry,cstatic,dcreatedate
12340,H000-TEST,1,www.tomtop.com,test@test.com,12,erefdfdfdfefe,Failed,2015-02-27
12341,H001-TEST,1,www.tomtop.com,test@test.com,12,erefdfdfdfefe,Pending,2015-02-27
12342,H002-TEST,1,www.tomtop.com,test@test.com,12,erefdfdfdfefe,Pending,2015-02-27
12343,H003-TEST,1,www.tomtop.com,test@test.com,12,erefdfdfdfefe,Pending,2015-02-27
12344,H004-TEST,1,www.tomtop.com,test@test.com,12,erefdfdfdfefe,Pending,2015-02-27
12345,H005-TEST,1,www.tomtop.com,test@test.com,12,erefdfdfdfefe,Pending,2015-02-27
12346,H006-TEST,1,www.tomtop.com,test@test.com,12,erefdfdfdfefe,Pending,2015-02-27
12347,H007-TEST,1,www.tomtop.com,test@test.com,12,erefdfdfdfefe,Pending,2015-02-27
12348,H008-TEST,1,www.tomtop.com,test@test.com,12,erefdfdfdfefe,Pending,2015-02-27
12349,H000-TEST,1,www.tomtop.com,test@test.com,12,erefdfdfdfefe,Pending,2015-02-27
934668a8-d8c9-1004-8a97-438cca05a146,F1214R,1,www.tomtop.com,test@test.com,12,erefdfdfdfefe,Approved,2015-02-27
934668a8-d8c9-1004-8a97-438cca05a146,F1214R,1,www.tomtop.com,test@test.com,12,erefdfdfdfefe,Pending,2015-02-27
964de800-d8c9-1004-8a97-438cca05a146,F1214GR,1,www.tomtop.com,test@test.com,12,erefdfdfdfefe,Pending,2015-02-27
